chr	end	rsID	gene.symbol	ClinicalSignificance.1	PhenotypeList	trait	pvalue	start.x	start.y	epi_chr	epi_start	epi_end	epi_state	eQTL_gut_tissue	eQTL_gut_gene
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183007600	183010000	7_Enh	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183007600	183010000	7_Enh	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183000200	183013400	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183000200	183013400	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183000000	183013200	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183000000	183013200	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	182994400	183038800	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	182994400	183038800	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183008400	183009600	7_Enh	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183008400	183009600	7_Enh	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183009200	183009600	7_Enh	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183009200	183009600	7_Enh	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	182994400	183038800	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	182994400	183038800	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183052533	rs10911232	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183052532	183052533	chr1	183044600	183056600	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183052533	rs10911232	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183052532	183052533	chr1	183044600	183056600	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183052533	rs10911232	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183052532	183052533	chr1	183035600	183056200	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183052533	rs10911232	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183052532	183052533	chr1	183035600	183056200	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183052533	rs10911232	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183052532	183052533	chr1	183052200	183059600	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183052533	rs10911232	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183052532	183052533	chr1	183052200	183059600	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183052533	rs10911232	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183052532	183052533	chr1	183052200	183055800	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183052533	rs10911232	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183052532	183052533	chr1	183052200	183055800	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183158000	183164000	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183158000	183164000	5_TxWk	ENSG00000224468.3	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183158000	183164000	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183158000	183164000	5_TxWk	ENSG00000135862.5	Esophagus_Mucosa
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183162400	183162800	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183162400	183162800	5_TxWk	ENSG00000224468.3	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183162400	183162800	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183162400	183162800	5_TxWk	ENSG00000135862.5	Esophagus_Mucosa
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183157800	183163800	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183157800	183163800	5_TxWk	ENSG00000224468.3	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183157800	183163800	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183157800	183163800	5_TxWk	ENSG00000135862.5	Esophagus_Mucosa
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183156600	183164200	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183156600	183164200	5_TxWk	ENSG00000224468.3	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183156600	183164200	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183156600	183164200	5_TxWk	ENSG00000135862.5	Esophagus_Mucosa
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183158200	183163800	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183158200	183163800	5_TxWk	ENSG00000224468.3	Esophagus_Muscularis
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183158200	183163800	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183162539	rs672059	LAMC2	NA	NA	Hypertriglyceridemia	2e-07	183162538	183162539	chr1	183158200	183163800	5_TxWk	ENSG00000135862.5	Esophagus_Mucosa
chr1	205914757	rs4077468	SLC26A9	NA	NA	type II diabetes mellitus	1e-09	205914756	205914757	chr1	205914600	205915800	5_TxWk	ENSG00000162877.8	Stomach
chr1	205914757	rs4077468	SLC26A9	NA	NA	type II diabetes mellitus	1e-09	205914756	205914757	chr1	205914600	205915800	5_TxWk	ENSG00000133065.6	Esophagus_Mucosa
chr1	205914757	rs4077468	SLC26A9	NA	NA	type II diabetes mellitus	1e-09	205914756	205914757	chr1	205914600	205915800	5_TxWk	ENSG00000162877.8	Colon_Transverse
chr1	205914757	rs4077468	SLC26A9	NA	NA	type II diabetes mellitus	1e-09	205914756	205914757	chr1	205914600	205915800	5_TxWk	ENSG00000162877.8	Small_Intestine_Terminal_Ileum
chr1	205914757	rs4077468	SLC26A9	NA	NA	type II diabetes mellitus	1e-09	205914756	205914757	chr1	205914200	205916400	5_TxWk	ENSG00000162877.8	Stomach
chr1	205914757	rs4077468	SLC26A9	NA	NA	type II diabetes mellitus	1e-09	205914756	205914757	chr1	205914200	205916400	5_TxWk	ENSG00000133065.6	Esophagus_Mucosa
chr1	205914757	rs4077468	SLC26A9	NA	NA	type II diabetes mellitus	1e-09	205914756	205914757	chr1	205914200	205916400	5_TxWk	ENSG00000162877.8	Colon_Transverse
chr1	205914757	rs4077468	SLC26A9	NA	NA	type II diabetes mellitus	1e-09	205914756	205914757	chr1	205914200	205916400	5_TxWk	ENSG00000162877.8	Small_Intestine_Terminal_Ileum
chr1	209727257	rs12130212	CAMK1G	NA	NA	obesity	2e-06	209727256	209727257	chr1	209720600	209728200	5_TxWk	ENSG00000224260.2	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667400	229673600	5_TxWk	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667400	229673600	5_TxWk	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667400	229673600	5_TxWk	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667600	229673400	5_TxWk	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667600	229673400	5_TxWk	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667600	229673400	5_TxWk	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229655200	229675600	4_Tx	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229655200	229675600	4_Tx	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229655200	229675600	4_Tx	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229671200	229685800	4_Tx	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229671200	229685800	4_Tx	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229671200	229685800	4_Tx	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229654000	229675200	4_Tx	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229654000	229675200	4_Tx	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229654000	229675200	4_Tx	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229671800	229683600	4_Tx	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229671800	229683600	4_Tx	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229671800	229683600	4_Tx	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229662000	229676800	4_Tx	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229662000	229676800	4_Tx	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229662000	229676800	4_Tx	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229645600	229675000	5_TxWk	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229645600	229675000	5_TxWk	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229645600	229675000	5_TxWk	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229658200	229678400	4_Tx	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229658200	229678400	4_Tx	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229658200	229678400	4_Tx	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667400	229673800	5_TxWk	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667400	229673800	5_TxWk	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229667400	229673800	5_TxWk	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229666000	229683000	5_TxWk	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229666000	229683000	5_TxWk	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229666000	229683000	5_TxWk	ENSG00000229367.1	Esophagus_Mucosa
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229658400	229681800	4_Tx	ENSG00000229367.1	Esophagus_Muscularis
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229658400	229681800	4_Tx	ENSG00000229367.1	Colon_Transverse
chr1	229672955	rs348330	ABCB10	NA	NA	type II diabetes mellitus	2e-09	229672954	229672955	chr1	229658400	229681800	4_Tx	ENSG00000229367.1	Esophagus_Mucosa
chr10	65101071	rs10761745	JMJD1C	NA	NA	type II diabetes mellitus	5e-06	65101070	65101071	chr10	65100800	65107000	5_TxWk	ENSG00000232075.1	Esophagus_Muscularis
chr10	65101071	rs10761745	JMJD1C	NA	NA	type II diabetes mellitus	5e-06	65101070	65101071	chr10	65035400	65139400	5_TxWk	ENSG00000232075.1	Esophagus_Muscularis
chr10	65101071	rs10761745	JMJD1C	NA	NA	type II diabetes mellitus	5e-06	65101070	65101071	chr10	65078000	65115400	5_TxWk	ENSG00000232075.1	Esophagus_Muscularis
chr10	65101071	rs10761745	JMJD1C	NA	NA	type II diabetes mellitus	5e-06	65101070	65101071	chr10	65093200	65123800	5_TxWk	ENSG00000232075.1	Esophagus_Muscularis
chr10	75594050	rs2633310	CAMK2G	NA	NA	type II diabetes mellitus	2e-08	75594049	75594050	chr10	75594000	75609200	4_Tx	ENSG00000166321.9	Esophagus_Muscularis
chr10	75594050	rs2633310	CAMK2G	NA	NA	type II diabetes mellitus	2e-08	75594049	75594050	chr10	75594000	75609200	4_Tx	ENSG00000176986.10	Esophagus_Mucosa
chr10	75594050	rs2633310	CAMK2G	NA	NA	type II diabetes mellitus	2e-08	75594049	75594050	chr10	75594000	75609200	4_Tx	ENSG00000196968.6	Esophagus_Mucosa
chr10	75594050	rs2633310	CAMK2G	NA	NA	type II diabetes mellitus	2e-08	75594049	75594050	chr10	75583400	75601400	5_TxWk	ENSG00000166321.9	Esophagus_Muscularis
chr10	75594050	rs2633310	CAMK2G	NA	NA	type II diabetes mellitus	2e-08	75594049	75594050	chr10	75583400	75601400	5_TxWk	ENSG00000176986.10	Esophagus_Mucosa
